SourceFile,FileName,Make,Model,Orientation,FNumber,ExposureProgram,ExposureTime,ISO,ApertureValue,Flash,FocalLength,DigitalZoomRatio,SceneCaptureType,ImageWidth,ImageHeight
./S20 2 Wide/20221024_142609(0).jpg,20221024_142609(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142605(0).jpg,20221024_142605(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142633(0).jpg,20221024_142633(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142621(0).jpg,20221024_142621(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142553(0).jpg,20221024_142553(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./Samsung Note 10-1 (black)/f209_3024x3024/20221002_225017.jpg,20221002_225017.jpg,samsung,SM-N970U,Rotate 90 CW,2.1,Program AE,1/30,320,2.1,No Flash,6.0 mm,,Standard,4032,3024
./Samsung Note 10-1 (black)/f209_3024x3024/20221002_225014.jpg,20221002_225014.jpg,samsung,SM-N970U,Rotate 90 CW,2.1,Program AE,1/30,320,2.1,No Flash,6.0 mm,,Standard,4032,3024
./Samsung Note 10-1 (black)/f209_3024x3024/20221002_225015.jpg,20221002_225015.jpg,samsung,SM-N970U,Rotate 90 CW,2.1,Program AE,1/30,320,2.1,No Flash,6.0 mm,,Standard,4032,3024
./Samsung Note 10-1 (black)/f209_3024x3024/20221002_225018.jpg,20221002_225018.jpg,samsung,SM-N970U,Rotate 90 CW,2.1,Program AE,1/30,320,2.1,No Flash,6.0 mm,,Standard,4032,3024
./Samsung Note 10-1 (black)/f209_3024x3024/20221002_225022.jpg,20221002_225022.jpg,samsung,SM-N970U,Rotate 90 CW,2.1,Program AE,1/30,320,2.1,No Flash,6.0 mm,,Standard,4032,3024
./Samsung Note 10-1 (black)/f24_2208x2944/20221002_225058.jpg,20221002_225058.jpg,samsung,SM-N970U,Rotate 90 CW,2.4,Program AE,1/30,640,2.4,No Flash,3.3 mm,1.23,Standard,2944,2208
./Samsung Note 10-1 (black)/f24_2208x2944/20221002_225053.jpg,20221002_225053.jpg,samsung,SM-N970U,Rotate 90 CW,2.4,Program AE,1/30,640,2.4,No Flash,3.3 mm,1.23,Standard,2944,2208
./Samsung Note 10-1 (black)/f24_2208x2944/20221002_225055.jpg,20221002_225055.jpg,samsung,SM-N970U,Rotate 90 CW,2.4,Program AE,1/30,640,2.4,No Flash,3.3 mm,1.23,Standard,2944,2208
./Samsung Note 10-1 (black)/f24_2208x2944/20221002_225054.jpg,20221002_225054.jpg,samsung,SM-N970U,Rotate 90 CW,2.4,Program AE,1/30,640,2.4,No Flash,3.3 mm,1.23,Standard,2944,2208
./Samsung Note 10-1 (black)/f24_2208x2944/20221002_225056.jpg,20221002_225056.jpg,samsung,SM-N970U,Rotate 90 CW,2.4,Program AE,1/30,640,2.4,No Flash,3.3 mm,1.23,Standard,2944,2208
./Samsung Note 10-1 (black)/f22_3456×4608/20221002_225044.jpg,20221002_225044.jpg,samsung,SM-N970U,Rotate 90 CW,2.2,Program AE,1/59,640,2.2,No Flash,1.8 mm,1,Standard,4608,3456
./Samsung Note 10-1 (black)/f22_3456×4608/20221002_225045.jpg,20221002_225045.jpg,samsung,SM-N970U,Rotate 90 CW,2.2,Program AE,1/59,640,2.2,No Flash,1.8 mm,1,Standard,4608,3456
./Samsung Note 10-1 (black)/f22_3456×4608/20221002_225040.jpg,20221002_225040.jpg,samsung,SM-N970U,Rotate 90 CW,2.2,Program AE,1/59,640,2.2,No Flash,1.8 mm,1,Standard,4608,3456
./Samsung Note 10-1 (black)/f22_3456×4608/20221002_225042.jpg,20221002_225042.jpg,samsung,SM-N970U,Rotate 90 CW,2.2,Program AE,1/59,640,2.2,No Flash,1.8 mm,1,Standard,4608,3456
